subtask,method,yes_to_no,no_to_yes,yes_pct,accuracy
posters,sid (sample),217,186,27.55,0.7143
posters,vcd (greedy),30,292,36.05,0.7721
posters,vcd (sample),125,330,34.69,0.7517
scene,apc (sample),235,246,39.75,0.8375
scene,baseline (sample),235,319,41.25,0.7975
scene,icd (greedy),94,4,37.25,0.8275
scene,icd (sample),273,211,38.5,0.825
scene,olm (greedy),0,563,51.75,0.8625
scene,pba (greedy),0,310,45.0,0.86
scene,sid (greedy),101,55,37.5,0.83
scene,sid (sample),217,186,37.75,0.8075
scene,vcd (greedy),30,292,42.5,0.83
scene,vcd (sample),125,330,42.5,0.82
text_translation,apc (sample),235,246,32.5,0.525
text_translation,baseline (sample),235,319,30.0,0.6
text_translation,icd (greedy),94,4,5.0,0.55
text_translation,icd (sample),273,211,42.5,0.725
text_translation,olm (greedy),0,563,90.0,0.6
text_translation,pba (greedy),0,310,72.5,0.625
text_translation,sid (greedy),101,55,0.0,0.5
text_translation,sid (sample),217,186,25.0,0.5
text_translation,vcd (greedy),30,292,15.0,0.5
text_translation,vcd (sample),125,330,30.0,0.55
