beta,mean_jaccard
0.000,0.371250
0.025,0.370955
0.050,0.432657
0.075,0.438780
0.100,0.447406
0.200,0.476296
0.300,0.485008
0.400,0.494257
0.500,0.521905
0.600,0.550648
0.700,0.575690
0.800,0.619236
0.900,0.730824
1.000,0.778528
