b,accuracy,f1,precision,recall,yes_rate
-6.0,0.5036666666666667,0.014559894109861018,1.0,0.007333333333333333,0.0036666666666666666
-5.98,0.5043333333333333,0.017184401850627893,1.0,0.008666666666666666,0.004333333333333333
-5.960000000000001,0.505,0.019801980198019802,1.0,0.01,0.005
-5.940000000000001,0.505,0.019801980198019802,1.0,0.01,0.005
-5.920000000000002,0.5063333333333333,0.025016458196181698,1.0,0.012666666666666666,0.006333333333333333
-5.900000000000002,0.5063333333333333,0.025016458196181698,1.0,0.012666666666666666,0.006333333333333333
-5.880000000000003,0.5063333333333333,0.025016458196181698,1.0,0.012666666666666666,0.006333333333333333
-5.860000000000003,0.5066666666666667,0.02631578947368421,1.0,0.013333333333333334,0.006666666666666667
-5.840000000000003,0.5083333333333333,0.03278688524590164,1.0,0.016666666666666666,0.008333333333333333
-5.820000000000004,0.5086666666666667,0.03407601572739187,1.0,0.017333333333333333,0.008666666666666666
-5.800000000000004,0.5096666666666667,0.03793328973185088,1.0,0.019333333333333334,0.009666666666666667
-5.780000000000005,0.51,0.0392156862745098,1.0,0.02,0.01
-5.760000000000005,0.5106666666666667,0.041775456919060046,1.0,0.021333333333333333,0.010666666666666666
-5.7400000000000055,0.5106666666666667,0.041775456919060046,1.0,0.021333333333333333,0.010666666666666666
-5.720000000000006,0.5116666666666667,0.04560260586319218,1.0,0.023333333333333334,0.011666666666666667
-5.700000000000006,0.513,0.050682261208576995,1.0,0.026,0.013
-5.680000000000007,0.5133333333333333,0.05194805194805195,1.0,0.02666666666666667,0.013333333333333334
-5.660000000000007,0.5136666666666667,0.053212199870214145,1.0,0.027333333333333334,0.013666666666666667
-5.640000000000008,0.5146666666666667,0.056994818652849735,1.0,0.029333333333333333,0.014666666666666666
-5.620000000000008,0.5153333333333333,0.059508408796895215,1.0,0.030666666666666665,0.015333333333333332
-5.6000000000000085,0.516,0.06201550387596899,1.0,0.032,0.016
-5.580000000000009,0.5166666666666667,0.06451612903225806,1.0,0.03333333333333333,0.016666666666666666
-5.560000000000009,0.5183333333333333,0.0707395498392283,1.0,0.03666666666666667,0.018333333333333333
-5.54000000000001,0.5186666666666667,0.07197943444730077,1.0,0.037333333333333336,0.018666666666666668
-5.52000000000001,0.5193333333333333,0.07445442875481387,1.0,0.03866666666666667,0.019333333333333334
-5.500000000000011,0.52,0.07692307692307693,1.0,0.04,0.02
-5.480000000000011,0.5203333333333333,0.07815502882767457,1.0,0.04066666666666666,0.02033333333333333
-5.4600000000000115,0.522,0.08429118773946359,1.0,0.044,0.022
-5.440000000000012,0.5226666666666666,0.08673469387755103,1.0,0.04533333333333334,0.02266666666666667
-5.420000000000012,0.524,0.0916030534351145,1.0,0.048,0.024
-5.400000000000013,0.525,0.09523809523809523,1.0,0.05,0.025
-5.380000000000013,0.5253333333333333,0.09644670050761421,1.0,0.050666666666666665,0.025333333333333333
-5.360000000000014,0.526,0.0988593155893536,1.0,0.052,0.026
-5.340000000000014,0.5286666666666666,0.10844892812105927,1.0,0.05733333333333333,0.028666666666666667
-5.3200000000000145,0.53,0.11320754716981131,1.0,0.06,0.03
-5.300000000000015,0.53,0.11320754716981131,1.0,0.06,0.03
-5.280000000000015,0.5316666666666666,0.11912225705329156,1.0,0.06333333333333334,0.03166666666666667
-5.260000000000016,0.5316666666666666,0.11912225705329156,1.0,0.06333333333333334,0.03166666666666667
-5.240000000000016,0.5333333333333333,0.125,1.0,0.06666666666666667,0.03333333333333333
-5.220000000000017,0.5343333333333333,0.12850904553961323,1.0,0.06866666666666667,0.034333333333333334
-5.200000000000017,0.535,0.13084112149532712,1.0,0.07,0.035
