model_label,method,n_H,n_T,selectivity_cd,sel_ci,sel_resid,cd_above_chance,oracle_ceiling,cd_mean_abs_delta,s_star,detection_factor,cd_mean_delta_H,cd_mean_delta_T,cd_frac_delta_pos_H
LLaVA-1.5-7B,vcd,257,3453,0.5226820190191578,"[0.49, 0.55]",0.41975849117836966,False,0.8852540113429815,3.6400143194070083,0.15,24.266762129380055,3.3162086575875485,3.6000760208514335,0.9649805447470817
LLaVA-1.5-7B,icd,261,3453,0.6388281387832003,"[0.60, 0.67]",0.4671566620396723,True,0.8891696154046734,0.18147970516962844,0.02,9.073985258481422,-0.16780411877394635,-0.05560382276281494,0.2567049808429119
LLaVA-1.5-7B,sid,261,3453,0.6911497914523769,"[0.66, 0.72]",0.491741314399273,True,0.8891696154046734,3.0791557283252557,0.17,18.112680754854445,1.6071599616858236,3.1108682667245873,0.7969348659003831
Qwen2.5-VL-7B,vcd,141,3552,0.8054237748386684,"[0.77, 0.84]",0.5577299373841927,True,0.9005155421378825,4.935113728675873,0.45,10.966919397057495,2.1374113475177303,4.99634009009009,0.8439716312056738
Qwen2.5-VL-7B,icd,141,3552,0.4943034790109258,"[0.45, 0.54]",0.30275421698294036,False,0.9005155421378825,0.564107771459518,0.06,9.401796190991966,0.03280141843971631,0.05162584459459459,0.49645390070921985
Qwen2.5-VL-7B,sid,141,3552,0.7261656603411922,"[0.68, 0.77]",0.5516280908568143,True,0.9005155421378825,5.726035743298132,0.44,13.013717598404845,3.049645390070922,5.7751266891891895,0.8723404255319149
