b,accuracy,f1,precision,recall,yes_rate
-6.0,0.5033333333333333,0.013245033112582783,1.0,0.006666666666666667,0.0033333333333333335
-5.98,0.5046666666666667,0.018494055482166448,1.0,0.009333333333333334,0.004666666666666667
-5.960000000000001,0.505,0.019801980198019802,1.0,0.01,0.005
-5.940000000000001,0.505,0.019801980198019802,1.0,0.01,0.005
-5.920000000000002,0.5063333333333333,0.025016458196181698,1.0,0.012666666666666666,0.006333333333333333
-5.900000000000002,0.5063333333333333,0.025016458196181698,1.0,0.012666666666666666,0.006333333333333333
-5.880000000000003,0.5063333333333333,0.025016458196181698,1.0,0.012666666666666666,0.006333333333333333
-5.860000000000003,0.5066666666666667,0.02631578947368421,1.0,0.013333333333333334,0.006666666666666667
-5.840000000000003,0.5083333333333333,0.03278688524590164,1.0,0.016666666666666666,0.008333333333333333
-5.820000000000004,0.5086666666666667,0.03407601572739187,1.0,0.017333333333333333,0.008666666666666666
-5.800000000000004,0.5096666666666667,0.03793328973185088,1.0,0.019333333333333334,0.009666666666666667
-5.780000000000005,0.51,0.0392156862745098,1.0,0.02,0.01
-5.760000000000005,0.5106666666666667,0.041775456919060046,1.0,0.021333333333333333,0.010666666666666666
-5.7400000000000055,0.5106666666666667,0.041775456919060046,1.0,0.021333333333333333,0.010666666666666666
-5.720000000000006,0.5116666666666667,0.04560260586319218,1.0,0.023333333333333334,0.011666666666666667
-5.700000000000006,0.513,0.050682261208576995,1.0,0.026,0.013
-5.680000000000007,0.5133333333333333,0.05194805194805195,1.0,0.02666666666666667,0.013333333333333334
-5.660000000000007,0.5133333333333333,0.05194805194805195,1.0,0.02666666666666667,0.013333333333333334
-5.640000000000008,0.5143333333333333,0.05573558003888529,1.0,0.028666666666666667,0.014333333333333333
-5.620000000000008,0.5153333333333333,0.059508408796895215,1.0,0.030666666666666665,0.015333333333333332
-5.6000000000000085,0.516,0.06201550387596899,1.0,0.032,0.016
-5.580000000000009,0.5166666666666667,0.06451612903225806,1.0,0.03333333333333333,0.016666666666666666
-5.560000000000009,0.5176666666666667,0.06825499034127494,1.0,0.035333333333333335,0.017666666666666667
-5.54000000000001,0.519,0.07321772639691715,1.0,0.038,0.019
-5.52000000000001,0.5193333333333333,0.07445442875481387,1.0,0.03866666666666667,0.019333333333333334
-5.500000000000011,0.52,0.07692307692307693,1.0,0.04,0.02
-5.480000000000011,0.521,0.08061420345489444,1.0,0.042,0.021
-5.4600000000000115,0.522,0.08429118773946359,1.0,0.044,0.022
-5.440000000000012,0.5223333333333333,0.08551372048500319,1.0,0.04466666666666667,0.022333333333333334
-5.420000000000012,0.5246666666666666,0.09402795425667092,1.0,0.04933333333333333,0.024666666666666667
-5.400000000000013,0.5246666666666666,0.09402795425667092,1.0,0.04933333333333333,0.024666666666666667
-5.380000000000013,0.5253333333333333,0.09644670050761421,1.0,0.050666666666666665,0.025333333333333333
-5.360000000000014,0.526,0.0988593155893536,1.0,0.052,0.026
-5.340000000000014,0.5286666666666666,0.10844892812105927,1.0,0.05733333333333333,0.028666666666666667
-5.3200000000000145,0.5293333333333333,0.11083123425692695,1.0,0.058666666666666666,0.029333333333333333
-5.300000000000015,0.53,0.11320754716981131,1.0,0.06,0.03
-5.280000000000015,0.5316666666666666,0.11912225705329156,1.0,0.06333333333333334,0.03166666666666667
-5.260000000000016,0.532,0.12030075187969924,1.0,0.064,0.032
-5.240000000000016,0.5333333333333333,0.125,1.0,0.06666666666666667,0.03333333333333333
-5.220000000000017,0.5346666666666666,0.12967581047381546,1.0,0.06933333333333333,0.034666666666666665
-5.200000000000017,0.535,0.13084112149532712,1.0,0.07,0.035
-5.1800000000000175,0.5356666666666666,0.13316739265712507,1.0,0.07133333333333333,0.035666666666666666
-5.160000000000018,0.536,0.1343283582089552,1.0,0.072,0.036
-5.140000000000018,0.5366666666666666,0.13664596273291926,1.0,0.07333333333333333,0.03666666666666667
-5.120000000000019,0.5383333333333333,0.14241486068111453,1.0,0.07666666666666666,0.03833333333333333
-5.100000000000019,0.5386666666666666,0.14356435643564358,1.0,0.07733333333333334,0.03866666666666667
-5.08000000000002,0.539,0.14471243042671614,1.0,0.078,0.039
-5.06000000000002,0.54,0.14814814814814814,1.0,0.08,0.04
-5.0400000000000205,0.541,0.15157116451016636,1.0,0.082,0.041
-5.020000000000021,0.5416666666666666,0.15384615384615385,1.0,0.08333333333333333,0.041666666666666664
-5.000000000000021,0.543,0.1583793738489871,1.0,0.086,0.043
-4.980000000000022,0.5443333333333333,0.16289038579301898,1.0,0.08866666666666667,0.044333333333333336
-4.960000000000022,0.545,0.16513761467889906,1.0,0.09,0.045
-4.940000000000023,0.545,0.16513761467889906,1.0,0.09,0.045
-4.920000000000023,0.549,0.1785063752276867,1.0,0.098,0.049
-4.9000000000000234,0.5503333333333333,0.18291944276196245,1.0,0.10066666666666667,0.050333333333333334
-4.880000000000024,0.5502222222222222,0.18288251917642312,0.9977973568281938,0.10066666666666667,0.050444444444444445
-4.860000000000024,0.5502222222222222,0.18288251917642312,0.9977973568281938,0.10066666666666667,0.050444444444444445
