layer,cd_raw_mean,clean_state_norm_mean,cd_relative_mean
0,0.0,0.5915883779525757,0.0
1,0.0,2.0877978801727295,0.0
2,0.0,2.437274694442749,0.0
3,0.3174758553504944,3.225114345550537,0.09846468269824982
4,0.6499490141868591,4.4328508377075195,0.14669984579086304
5,1.0606157779693604,5.70135498046875,0.18610727787017822
6,1.2768409252166748,6.517848968505859,0.19599033892154694
7,1.5649805068969727,8.07221794128418,0.19402028620243073
8,1.8369364738464355,8.934185028076172,0.20569877326488495
9,1.9666823148727417,10.29267406463623,0.19112591445446014
10,2.8457980155944824,12.997223854064941,0.2190583199262619
11,3.3728487491607666,15.93868637084961,0.21172691881656647
12,3.936708688735962,16.970291137695312,0.2319943606853485
13,5.548695087432861,19.273164749145508,0.2883056402206421
14,9.170762062072754,23.357995986938477,0.39298081398010254
15,11.889447212219238,25.83651351928711,0.4602254331111908
16,13.323972702026367,30.189680099487305,0.44154179096221924
17,16.019989013671875,37.27793502807617,0.43043649196624756
18,17.23355484008789,43.15773010253906,0.4000696837902069
19,19.6307315826416,47.984500885009766,0.4096599221229553
20,20.80891227722168,52.77708435058594,0.394877165555954
21,22.20611000061035,71.51388549804688,0.3108491599559784
22,22.89434242248535,77.19379425048828,0.29708412289619446
23,23.915517807006836,87.03590393066406,0.2752237021923065
24,25.105125427246094,95.40839385986328,0.2637519836425781
25,26.08910369873047,105.49129486083984,0.2478124052286148
26,26.84430503845215,112.79566955566406,0.2384020984172821
27,28.449182510375977,127.7530517578125,0.22302284836769104
28,29.547998428344727,139.4861297607422,0.2122259885072708
29,31.08382797241211,149.7129364013672,0.2079823911190033
30,31.927753448486328,164.5239715576172,0.19440925121307373
31,32.89947509765625,174.89610290527344,0.1884845793247223
32,15.104754447937012,108.23335266113281,0.13928604125976562
