layer,cd_raw_mean,clean_state_norm_mean,cd_relative_mean
0,0.0,0.5915883779525757,0.0
1,0.044335804879665375,2.0877978801727295,0.021191122010350227
2,0.09328988939523697,2.437274694442749,0.038278788328170776
3,0.1062290221452713,3.225114345550537,0.03294222801923752
4,0.12700898945331573,4.4328508377075195,0.028649769723415375
5,0.1697171926498413,5.70135498046875,0.02976708672940731
6,0.1991991549730301,6.517848968505859,0.030563265085220337
7,0.2823517620563507,8.07221794128418,0.03497682511806488
8,0.33394479751586914,8.934185028076172,0.037379492074251175
9,0.45207780599594116,10.29267406463623,0.043924372643232346
10,0.7912577986717224,12.997223854064941,0.06088782474398613
11,0.9980891942977905,15.93868637084961,0.06264425814151764
12,1.1369390487670898,16.970291137695312,0.06701773405075073
13,1.41753089427948,19.273164749145508,0.07358662039041519
14,1.9647530317306519,23.357995986938477,0.08416622877120972
15,2.3592376708984375,25.83651351928711,0.09129638969898224
16,2.928246259689331,30.189680099487305,0.09698432683944702
17,3.264705181121826,37.27793502807617,0.08764958381652832
18,3.394425630569458,43.15773010253906,0.07873623073101044
19,3.795025587081909,47.984500885009766,0.07918064296245575
20,4.240746021270752,52.77708435058594,0.0804540291428566
21,4.415794372558594,71.51388549804688,0.06181195005774498
22,4.720034599304199,77.19379425048828,0.0611867792904377
23,5.068840026855469,87.03590393066406,0.05827391892671585
24,5.31135368347168,95.40839385986328,0.05570352077484131
25,5.909724235534668,105.49129486083984,0.056048545986413956
26,5.943201065063477,112.79566955566406,0.05271602049469948
27,6.737015724182129,127.7530517578125,0.05275561660528183
28,7.146559238433838,139.4861297607422,0.05126185342669487
29,7.436030864715576,149.7129364013672,0.04968966916203499
30,7.897367477416992,164.5239715576172,0.048022206872701645
31,9.265767097473145,174.89610290527344,0.052988965064287186
32,5.4978742599487305,108.23335266113281,0.05081039294600487
