layer,cd_raw_mean,clean_state_norm_mean,cd_relative_mean,cd_raw_norm,cd_relative_norm,probe_truth_auc,probe_halluc_auc
0,0.0,0.5915859375,0.0,0.0,0.0,0.5,0.4983612810776215
1,0.23228256395128039,2.0822384440104167,0.11135808944702148,0.006321556932726235,0.23160341573844176,0.7853210370370372,0.7208396795758266
2,0.3103809390597873,2.4366630995008682,0.12740933905707466,0.00844699982522585,0.2649869288268848,0.7960722962962963,0.7252869806512814
3,0.3634042816162109,3.2247695990668404,0.11273082012600369,0.009890027115057992,0.23445843162206542,0.8232649382716051,0.7379023851553915
4,0.4615613793267144,4.430840277777778,0.10425575171576607,0.012561367016654165,0.21683191879147465,0.8478550617283951,0.7380334826691818
5,0.6147393324110243,5.697971381293403,0.10784463119506836,0.016730096407225347,0.22429609809095385,0.9138562962962964,0.7886516893826491
6,0.6794724595811632,6.516059353298611,0.1042466655307346,0.018491804827687204,0.2168130212735685,0.9279161975308642,0.8012106491238772
7,0.8349689195421007,8.077323676215277,0.1035022447374132,0.022723632252696278,0.21526476914984666,0.9396141728395062,0.8135065034381234
8,1.0139397650824653,8.94837451171875,0.11334406746758355,0.027594313762905824,0.23573386818628544,0.9577289876543208,0.8714843789118725
9,1.1359217393663195,10.287570909288194,0.11044002702501085,0.030914046342418195,0.2296940224123294,0.9682157530864196,0.9206996601479034
10,2.1134405246310766,13.002133409288195,0.16254524400499132,0.05751716518502167,0.3380628556985484,0.9756244444444444,0.9397971083894217
11,2.802163045247396,15.844992567274305,0.17689348602294921,0.07626070990428849,0.3679044404249264,0.9785345679012344,0.945146615271586
12,3.545541314019097,16.960847873263887,0.20917477501763238,0.09649170774008567,0.43504331495783866,0.9815169382716048,0.9697219367108544
13,5.887370578342014,19.446976453993056,0.3044276733398438,0.16022445964929377,0.6331510296282318,0.9826707160493828,0.9950665456442396
14,9.748447102864583,23.301911241319445,0.4191965874565972,0.26530344042247644,0.8718483048960316,0.982415851851852,0.9990996149920932
15,12.352463975694445,25.5923251953125,0.4808136749267578,0.3361716133724976,0.9999999999979202,0.9838367901234568,0.9994810723412468
16,13.91326199001736,30.19418012152778,0.45986040412055124,0.3786486436764073,0.9564212253107095,0.9848923950617284,0.999620363449649
17,16.8967197265625,37.213439453125,0.4532719930013021,0.4598432784226831,0.9427185969063925,0.9846846419753088,0.999753281762242
18,18.0385791015625,41.72523415798611,0.4275211046006944,0.49091891718540864,0.8891617000388549,0.985497086419753,0.9997896977382948
19,20.923300889756945,49.27908376736111,0.4255328826904297,0.5694264586424242,0.8850265807318521,0.9858774320987654,0.9998197409185384
20,22.571011501736113,53.524774522569444,0.42165071784125435,0.6142688104104553,0.8769524242516757,0.986409975308642,0.9998160993209332
21,24.361944010416668,67.61261631944444,0.3562656470404731,0.6630089380537378,0.7409640482750454,0.9859367901234568,0.9998133681227293
22,25.180561197916667,72.4541467013889,0.3435504930284288,0.685287558837237,0.714518972614594,0.985286074074074,0.9998333969095582
23,26.499619140625,81.15108506944445,0.32254238722059464,0.7211856466685063,0.6708261516668731,0.9855473086419752,0.9998534256963874
24,27.767049153645832,89.65159505208334,0.30677814229329425,0.7556786832928033,0.6380395531374761,0.9856086419753086,0.99985524649519
25,28.711674262152776,99.31162760416667,0.28642906867133244,0.7813866025697829,0.5957173924272607,0.9852795061728395,0.9998798272790256
26,29.438907660590278,106.94678038194445,0.2728016594780816,0.8011782186661459,0.5673750013850376,0.9843785679012343,0.99988984167244
27,31.288761827256945,121.06277039930555,0.25615420616997614,0.8515218959224247,0.5327514992340084,0.9846115061728395,0.9998843792760322
28,32.73397699652778,132.05850130208333,0.24553988647460936,0.8908533455894835,0.5106757550344252,0.9847972345679012,0.999869812885611
29,34.2941064453125,142.71709635416667,0.2382975387573242,0.9333121809198185,0.49561306423559687,0.9851717530864196,0.9998616192909991
30,35.38662771267361,157.0831015625,0.22352073330349392,0.9630450858540263,0.46488014996053906,0.985055851851852,0.9998616192909991
31,36.744518229166665,166.84961805555557,0.2185720681084527,0.9999999999999727,0.45458787781211324,0.9851364938271604,0.9998570672939924
32,17.89885964626736,107.4969375,0.1657746556599935,0.4871164600563278,0.34477941103672044,0.98550212345679,0.999849784098782
