method,n_H,n_T,selectivity_readout,selectivity_min,selectivity_max,frac_pos_readout,r2_max,mean_delta_H_readout
vcd,1,9,0.0,0.0,1.0,1.0,0.25909301480705765,8.90625
icd,261,3453,0.6388281387832003,0.42901058882664084,0.6819723645272643,0.2567049808429119,0.027586766599477616,-0.16780411877394635
sid,261,3453,0.6911497914523769,0.4437370802001258,0.6911497914523769,0.7969348659003831,0.028330649088117704,1.6071599616858236
