beta,mean_jaccard
0.000,0.279490
0.025,0.299801
0.050,0.309301
0.075,0.306920
0.100,0.313472
0.200,0.311747
0.300,0.306806
0.400,0.333860
0.500,0.338368
0.600,0.337637
0.700,0.342546
0.800,0.343401
0.900,0.340139
1.000,0.351730
