layer,probe_truth_acc,probe_truth_auc,probe_truth_bal_acc,probe_halluc_acc,probe_halluc_auc,probe_halluc_bal_acc,cd_change_mean,cd_change_norm
0,0.5,0.5,0.5,0.9686666666666667,0.49707135640128275,0.5,0.0,0.0
1,0.8137777777777778,0.8695261728395062,0.8137777777777777,0.9693333333333334,0.8100709545263001,0.719953336945327,2.3240299224853516,0.012920181789648183
2,0.861,0.9042001975308641,0.861,0.9702222222222222,0.8166848079867364,0.7444319163579388,3.75520658493042,0.020876646752938165
3,0.8753333333333333,0.9132769382716048,0.8753333333333333,0.972,0.818707199094073,0.7487809521020339,4.366117477416992,0.0242729368401853
4,0.9153333333333333,0.9472257283950617,0.9153333333333333,0.9728888888888889,0.84383821521951,0.7526711670156634,5.642498970031738,0.031368835545262735
5,0.9342222222222222,0.9666644938271605,0.9342222222222223,0.9742222222222222,0.9033759125572102,0.7739477627603442,8.339661598205566,0.046363406456374046
6,0.9337777777777778,0.9679991111111111,0.9337777777777778,0.9753333333333334,0.9098189284743883,0.7710898947152627,9.656941413879395,0.05368667476788495
7,0.9506666666666667,0.9771737777777777,0.9506666666666668,0.9762222222222222,0.9328429482329703,0.7784115037120558,10.126124382019043,0.05629504447187234
8,0.9548888888888889,0.9800891851851852,0.9548888888888889,0.9797777777777777,0.9325029001706747,0.8008351515329009,19.46784782409668,0.10822930053824267
9,0.9574444444444444,0.982868888888889,0.9574444444444445,0.9795555555555555,0.935076852489103,0.7972890522421208,21.743423461914062,0.12088010620655071
10,0.9621111111111111,0.98598,0.9621111111111111,0.9826666666666667,0.9593243944622603,0.8263460778140603,23.58203125,0.13110163848205994
11,0.966,0.9876934814814814,0.966,0.9826666666666667,0.9684812867809163,0.8366402600635516,25.505395889282227,0.14179436689612973
12,0.9675555555555555,0.987938172839506,0.9675555555555555,0.9835555555555555,0.9738537207603408,0.8473932631435084,25.89318084716797,0.1439502135583004
13,0.9654444444444444,0.9882628148148147,0.9654444444444444,0.9853333333333333,0.9747713624212724,0.8551736929707673,26.713607788085938,0.14851128444608366
14,0.9675555555555555,0.9894303209876544,0.9675555555555555,0.986,0.981586966885176,0.8658119908431077,30.193679809570312,0.1678583516777148
15,0.9674444444444444,0.9894263703703703,0.9674444444444444,0.9864444444444445,0.9883830470584215,0.8694727953415042,32.7130012512207,0.1818642346045026
16,0.9711111111111111,0.9904148148148149,0.9711111111111111,0.9895555555555555,0.9952507162974136,0.9122553972460987,37.94633865356445,0.2109583826404871
17,0.9714444444444444,0.9909361481481481,0.9714444444444444,0.99,0.9968809945673661,0.9090534135781679,42.96143341064453,0.23883923534676052
18,0.9718888888888889,0.9916337777777777,0.9718888888888889,0.9926666666666667,0.9984136513840282,0.934449634651711,48.515506744384766,0.26971647855721814
19,0.9705555555555555,0.9916441975308642,0.9705555555555556,0.9971111111111111,0.9996274114532744,0.9847832559683316,59.27769470214844,0.32954764661720926
20,0.9724444444444444,0.9922188148148147,0.9724444444444444,0.9968888888888889,0.9996892383736917,0.974374368511224,74.06681060791016,0.41176606564955853
21,0.9737777777777777,0.9928212345679013,0.9737777777777779,0.9982222222222222,0.9998259084082985,0.98192538792325,95.05140686035156,0.5284275577158776
22,0.9752222222222222,0.9932015802469136,0.9752222222222222,0.9986666666666667,0.9998730921107222,0.9890175865048103,105.45211029052734,0.5862490933845671
23,0.9745555555555555,0.993287901234568,0.9745555555555556,0.9984444444444445,0.9998812272318298,0.9889028812971938,117.59934997558594,0.653780300041987
24,0.9737777777777777,0.9926718024691358,0.9737777777777777,0.9986666666666667,0.9999251568858105,0.9924489805879739,126.01851654052734,0.7005857053786114
25,0.9738888888888889,0.9921429135802469,0.9738888888888888,0.9984444444444445,0.9999267839100321,0.9889028812971938,134.27285766601562,0.7464747823062559
26,0.9731111111111111,0.9920346172839506,0.973111111111111,0.998,0.9999398001038042,0.9852420767987973,149.18565368652344,0.8293807869633957
27,0.9744444444444444,0.9924407407407407,0.9744444444444444,0.9982222222222222,0.9999430541522472,0.9853567820064137,179.87594604492188,0.9999999999999944
28,0.9741111111111111,0.9917659753086421,0.9741111111111111,0.998,0.99991376771626,0.9852420767987973,105.44357299804688,0.5862016312715488
