layer,cd_raw_mean,clean_state_norm_mean,cd_relative_mean
0,0.0,1.0392765998840332,0.0
1,2.320094108581543,15.229012489318848,0.15251006186008453
2,3.7813591957092285,20.390844345092773,0.1852760910987854
3,4.399401664733887,24.6114501953125,0.1787426918745041
4,5.721241474151611,26.197240829467773,0.2183763086795807
5,8.406450271606445,31.724647521972656,0.2648490369319916
6,9.709348678588867,42.115848541259766,0.2304544895887375
7,10.219554901123047,45.90052032470703,0.22260001301765442
8,19.79380989074707,51.098419189453125,0.386860728263855
9,22.012203216552734,53.304298400878906,0.4125758409500122
10,23.909494400024414,64.48040008544922,0.37067165970802307
11,25.814739227294922,70.15463256835938,0.3677603304386139
12,26.013463973999023,71.06695556640625,0.365912526845932
13,26.655418395996094,75.1628189086914,0.3546794652938843
14,30.053180694580078,82.31391906738281,0.36501187086105347
15,32.63285827636719,88.93224334716797,0.3669651448726654
16,37.40129852294922,94.59168243408203,0.39553171396255493
17,42.204368591308594,95.49101257324219,0.4419507384300232
18,47.022457122802734,100.15308380126953,0.46933263540267944
19,55.87224578857422,114.53805541992188,0.4880489706993103
20,69.98689270019531,130.96783447265625,0.5347583293914795
21,85.91253662109375,167.9844970703125,0.5114460587501526
22,95.14751434326172,218.67079162597656,0.43548810482025146
23,103.11372375488281,253.9268341064453,0.4064289629459381
24,110.00611114501953,307.39947509765625,0.358367383480072
25,117.08567810058594,364.67803955078125,0.32144442200660706
26,128.0591278076172,450.0208740234375,0.28493431210517883
27,151.35618591308594,625.1665649414062,0.24222683906555176
28,86.21548461914062,242.05715942382812,0.3552498519420624
