method,n_H,n_T,selectivity_readout,selectivity_min,selectivity_max,frac_pos_readout,r2_max,mean_delta_H_readout
vcd,141,3552,0.8054237748386684,0.48524954475752347,0.8054237748386684,0.8439716312056738,0.04176580249738972,2.1374113475177303
icd,141,3552,0.4943034790109258,0.33821520989074183,0.743437919302281,0.49645390070921985,0.02575685673041787,0.03280141843971631
sid,141,3552,0.7261656603411922,0.4795021084914702,0.7261656603411922,0.8723404255319149,0.022807500985328615,3.049645390070922
