layer,cd_raw_mean,clean_state_norm_mean,cd_relative_mean
0,0.0,1.0392765998840332,0.0
1,1.1712371110916138,15.229012489318848,0.07694598287343979
2,1.3949944972991943,20.390844345092773,0.06840120255947113
3,2.3095738887786865,24.6114501953125,0.09385107457637787
4,3.0960798263549805,26.197240829467773,0.11820942163467407
5,5.311589241027832,31.724647521972656,0.167389914393425
6,6.407869338989258,42.115848541259766,0.15209956467151642
7,8.839926719665527,45.90052032470703,0.19254547357559204
8,10.096979141235352,51.098419189453125,0.19747215509414673
9,10.8407564163208,53.304298400878906,0.20319370925426483
10,12.177414894104004,64.48040008544922,0.18882572650909424
11,13.804834365844727,70.15463256835938,0.19677354395389557
12,14.740699768066406,71.06695556640625,0.20742003619670868
13,15.416930198669434,75.1628189086914,0.20518602430820465
14,17.899351119995117,82.31391906738281,0.21752892434597015
15,19.867752075195312,88.93224334716797,0.22342334687709808
16,21.192930221557617,94.59168243408203,0.22428861260414124
17,22.974733352661133,95.49101257324219,0.24056363105773926
18,25.795244216918945,100.15308380126953,0.257454514503479
19,28.901798248291016,114.53805541992188,0.2524220049381256
20,34.18829345703125,130.96783447265625,0.2610398828983307
21,40.81511306762695,167.9844970703125,0.2428593784570694
22,44.947994232177734,218.67079162597656,0.205592080950737
23,50.086971282958984,253.9268341064453,0.1973084658384323
24,54.313568115234375,307.39947509765625,0.17661072313785553
25,59.864139556884766,364.67803955078125,0.16403193771839142
26,68.89025115966797,450.0208740234375,0.1529674530029297
27,82.17462158203125,625.1665649414062,0.13128447532653809
28,44.87112808227539,242.05715942382812,0.18500973284244537
